Indicator,Year,Scenario,Value,Lower_CI,Upper_CI
ACC_OWNERSHIP,2014,Historical,22.0,,
ACC_OWNERSHIP,2017,Historical,35.0,,
ACC_OWNERSHIP,2021,Historical,46.0,,
ACC_OWNERSHIP,2021,Historical,56.0,,
ACC_OWNERSHIP,2021,Historical,36.0,,
ACC_OWNERSHIP,2024,Historical,49.0,,
ACC_OWNERSHIP,2025,Historical,70.0,,
ACC_OWNERSHIP,2025,Base,61.14006514657922,52.5341661016604,69.74596419149805
ACC_OWNERSHIP,2025,Optimistic,74.04891371395745,65.44301466903863,82.65481275887626
ACC_OWNERSHIP,2025,Pessimistic,56.837115624119804,48.23121657920098,65.44301466903863
ACC_OWNERSHIP,2026,Base,64.70195439739382,54.66173884498853,74.7421699497991
ACC_OWNERSHIP,2026,Optimistic,79.76227772600176,69.72206217359647,89.80249327840704
ACC_OWNERSHIP,2026,Pessimistic,59.68184662119118,49.641631068785884,69.72206217359647
ACC_OWNERSHIP,2027,Base,68.26384364820842,56.78931158831666,79.7383757081002
ACC_OWNERSHIP,2027,Optimistic,85.47564173804606,74.00110967815431,96.95017379793782
ACC_OWNERSHIP,2027,Pessimistic,62.526577618262536,51.05204555837077,74.00110967815431
ACC_MM_ACCOUNT,2021,Historical,4.7,,
ACC_MM_ACCOUNT,2024,Historical,9.45,,
ACC_MM_ACCOUNT,2025,Base,11.033333333333303,11.033333333333303,11.033333333333303
ACC_MM_ACCOUNT,2025,Optimistic,11.033333333333303,11.033333333333303,11.033333333333303
ACC_MM_ACCOUNT,2025,Pessimistic,11.033333333333303,11.033333333333303,11.033333333333303
ACC_MM_ACCOUNT,2026,Base,12.616666666666333,12.616666666666333,12.616666666666333
ACC_MM_ACCOUNT,2026,Optimistic,12.616666666666335,12.616666666666335,12.616666666666335
ACC_MM_ACCOUNT,2026,Pessimistic,12.616666666666333,12.616666666666333,12.616666666666333
ACC_MM_ACCOUNT,2027,Base,14.199999999999818,14.199999999999818,14.199999999999818
ACC_MM_ACCOUNT,2027,Optimistic,14.19999999999982,14.19999999999982,14.19999999999982
ACC_MM_ACCOUNT,2027,Pessimistic,14.199999999999818,14.199999999999818,14.199999999999818
